user,movie
4958,1924
4958,3264
4958,2634
4958,1407
4958,2399
4958,3489
4958,2043
4958,2453
5312,3267
5948,3098
5948,1180
3158,2648
403,1036
3693,468
5950,1262
5950,3555
5950,3793
5950,3578
5950,3948
5950,3893
5950,3896
5950,3535
5950,3317
5950,3481
5950,3328
5950,3911
5950,3152
5950,1261
5950,1997
5950,1639
5950,1089
5950,3683
5950,3654
5950,3196
5950,924
5950,1358
5950,1196
5950,1300
5950,2664
5950,2858
5950,2859
5950,2804
5950,111
5950,2329
5950,3363
5950,3070
5950,2439
5950,413
5950,1127
4607,203
4607,1884
4607,2739
4607,1962
3462,1078
3462,3893
424,2581
229,2839
229,3089
1647,1646
5312,1261
5312,1255
1597,627
1597,3418
1597,1660
1597,203
1597,2010
1597,176
1597,1278
5654,180
5654,2155
424,2324
5100,3188
5100,2624
496,2208
496,928
3391,3301
3391,2600
3391,2165
3391,1674
3391,2424
3391,450
3391,3254
3391,3387
3391,3253
3391,337
3391,338
3391,2335
3391,2297
3391,1461
3391,2105
3391,1194
3391,818
3391,2472
3391,552
3391,2253
3391,550
3391,1458
3391,1101
3391,2907
3391,2643
3391,3669
3391,1017
3391,1374
3391,3071
3391,1371
3391,1372
3391,848
3391,315
3391,329
3391,196
5654,231
4277,2675
4277,2307
3391,536
3391,2096
3391,2144
3391,1357
3391,528
3391,7
3391,2093
3391,2411
3391,1513
3391,1476
3391,3697
3391,1996
3391,2013
3391,1924
3391,1647
3391,1810
3391,2513
3391,1921
3391,1892
3391,1783
3391,26
3391,802
3391,2418
3391,3893
3391,2518
3391,3728
3391,1347
3391,2265
3391,605
3391,2615
3391,3502
3391,2723
3391,62
3391,2058
3391,499
3391,500
3391,1409
3391,52
3391,1432
3391,275
3391,3040
3391,1535
3391,2324
3391,2001
3391,2081
3391,1658
3391,25
3391,1238
3391,2421
3391,1856
3391,259
3391,482
3391,1855
3391,132
3391,361
3391,60
3391,3614
3391,3489
3391,2450
3391,2148
3391,2295
3391,1614
3391,246
3391,3
3391,1380
3391,1447
3391,639
3391,1034
3391,357
3391,2867
3391,459
3391,3210
3391,3564
3391,2046
3391,2371
3391,2372
3391,1425
3391,5
3391,453
3391,1573
3391,2567
3391,1261
3391,3243
3391,71
3391,1029
3391,3052
3391,3424
3391,442
3391,1126
3391,2195
3391,2026
3391,2044
3391,166
3391,224
3391,3203
3391,2471
3391,3044
3391,3060
3391,647
3391,1597
3391,3016
3391,223
3391,39
3391,1344
3391,710
3391,432
3391,3863
3391,35
3391,157
3391,3014
3391,1883
3391,3715
3391,2770
3391,122
3391,144
3391,95
3391,3566
3391,3683
3391,3394
3391,1351
3391,141
3391,2710
3391,420
3391,1171
3391,3525
3391,3272
3391,2683
3391,1517
3391,145
3391,2458
3391,2141
3391,2539
3391,1917
3391,1887
3391,2072
3391,1608
3391,999
3391,1352
3391,410
3391,413
4418,2883
3391,1022
3391,2863
3391,2579
3391,1104
3391,483
3391,1186
3391,1546
3391,551
3391,3182
3391,3189
3391,1635
3391,2323
3391,2583
3391,29
3391,2677
3391,3363
3840,2424
3840,141
424,1186
424,3535
424,3194
3840,1641
3840,2791
3840,2248
3840,1234
3840,736
3840,733
3840,1197
3840,2005
3840,1073
3840,2640
3840,2628
3840,1441
3840,2502
3840,1225
3840,1196
911,2409
4126,1378
4126,1379
4126,1278
1733,3735
349,553
2047,1449
4418,497
4418,1095
4418,1270
4418,1962
4418,916
4418,1172
4418,2010
4418,926
4418,2890
4418,3948
4418,3554
5948,2797
1088,1186
1088,2314
349,3693
349,587
911,2683
3471,3275
1605,443
1605,3330
1605,2594
349,548
349,1228
349,163
5484,3895
343,1817
4058,2539
5329,3035
5329,942
5329,2019
5329,2692
5329,1265
5329,1212
5329,1148
5329,1537
5329,260
5329,910
5329,1207
5329,3435
5329,912
5329,2940
5329,3115
5329,2759
5329,222
5329,3204
5329,2130
5329,1327
5329,3363
5329,1767
5329,187
5329,1962
5329,2300
5329,3735
5329,916
5329,922
1063,908
1165,2532
1165,2531
1165,2529
1165,2530
1165,2533
1243,2011
1243,455
1243,2739
1243,1962
1243,3099
1243,1095
1243,3735
1243,2010
1243,3418
5484,593
5484,1036
5484,2762
839,2873
839,954
839,2280
839,750
839,909
839,3556
839,69
839,1472
839,2357
839,3718
839,3535
5654,62
4312,1267
4312,750
5654,3252
5654,2302
5654,3101
5654,2427
424,3790
424,2494
424,184
5948,3481
1980,2579
4697,3176
4697,2907
4697,3081
4697,2485
4697,3325
4697,2581
4697,3717
4697,2888
4697,2718
4697,2541
4697,3516
4697,3285
4697,3005
4697,2188
4697,3534
4697,3248
4697,2012
4697,2011
4697,3247
2176,3362
4277,2544
5484,2502
5484,2268
5484,50
5484,1221
5484,858
5484,1945
3562,838
1015,2070
1015,3157
1015,2840
1015,2485
1015,1959
1015,3752
1015,3298
736,2791
736,2683
736,457
736,1732
736,1092
736,3053
736,1735
736,2692
736,1923
736,3617
736,6
736,1639
736,180
736,1216
736,356
736,1089
736,2028
736,296
736,2542
736,1784
736,1680
736,3527
736,3697
736,3671
736,1278
736,380
736,1894
736,47
736,1199
736,32
736,2890
736,3911
736,3114
736,1
736,1270
736,2012
736,2011
736,2502
736,2628
736,1196
736,1210
736,1704
736,2762
736,1884
4042,3911
3013,2017
3013,1381
3013,2135
3013,3600
3013,2099
3013,2877
3013,918
3013,1031
3013,2102
3013,3675
3013,1029
3013,1032
5654,3100
5654,3916
5654,1704
5654,2725
5654,2022
5654,1084
5654,1673
5654,2391
1958,1095
5312,1953
1579,3707
2860,2764
1113,2551
1246,2664
1246,3798
1246,1483
937,750
5636,2579
5654,529
5654,1041
1447,1615
840,2070
1425,1984
1425,1983
1425,3671
1101,1884
1101,203
1101,3247
5654,2107
424,2770
424,1507
424,2128
424,3739
424,3616
424,3275
424,1226
2105,2706
5682,2128
5312,1304
1088,3543
1088,2728
1088,2844
1088,170
1088,1951
1088,1660
518,1417
2860,3006
4277,3581
1647,2340
1306,2952
4600,716
4600,2580
5448,1207
5448,978
5448,3739
4748,3831
4748,3911
4748,3948
5484,3717
5484,3578
5484,1580
5484,2985
5484,3793
5484,2968
5484,2916
5484,2288
5484,2529
5484,924
5484,1206
5484,1214
5484,1090
5484,1263
5484,1927
5484,3366
5484,1208
5484,110
5484,1233
5484,750
5484,2028
5484,1204
5484,1262
5484,527
5484,912
5484,590
5484,3871
5484,2922
5484,2951
5484,1266
5484,2921
5484,3681
5484,1209
5484,1201
5484,1370
5484,3697
5484,2707
5484,2826
1113,247
1113,2348
1733,3518
3462,1080
5948,2248
195,1375
195,1356
195,329
195,1374
195,2247
624,3844
3519,2436
1579,922
2176,671
2176,541
2176,680
1524,2640
1348,3147
1348,551
1348,938
1348,2300
5654,3617
5654,2539
5654,3179
5654,2496
5654,3174
5654,1883
5654,3263
5654,1904
5654,1777
5654,2150
5654,3129
5654,3527
5654,1747
5654,1101
5654,141
5654,3526
5654,3536
5654,52
5654,322
5654,151
5654,2671
5654,3408
5654,3039
5654,1120
